Modelo,Tipo,k,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
API Gemini_3char,3 Caracteres,7,0.18173040030694462,0.3558116980005968,0.22988871240753908,0.18135593220338983,0.3328724507431732,0.23479214921370228,963,4347,1930
Agregado_Borda_3char,3 Caracteres,7,0.23939548961930338,0.6769311932472183,0.3365247233091775,0.23905249679897567,0.6453508468717594,0.34887414743529854,1867,5943,1026
Agregado_Pluralidade_3char,3 Caracteres,7,0.24029074476702042,0.6757130067783603,0.3372518386289517,0.23994878361075545,0.6477704804701002,0.3501821919088106,1874,5936,1019
API Maritalk_3char,3 Caracteres,8,0.23423391738073923,0.543730016626167,0.3107898269044196,0.23063816604708798,0.5146906325613549,0.3185367418975291,1489,4967,1404
API Deep-Seek_3char,3 Caracteres,8,0.2509538730442938,0.5430116809481179,0.32940565353277984,0.2532061821769155,0.532319391634981,0.34317548746518106,1540,4542,1353
API GPT-Mini_3char,3 Caracteres,8,0.2594566653877307,0.5455898026175555,0.33497839966716686,0.2582200034429334,0.5184929139301763,0.344748333716387,1500,4309,1393
API GPT‑4o_3char,3 Caracteres,8,0.30032399710107854,0.5032815364283584,0.359705707601858,0.2939350031049472,0.4908399585205669,0.3676851372345934,1420,3411,1473
API Gemini_3char,3 Caracteres,8,0.1812710491537707,0.3563126145713433,0.22967433690352224,0.1803248086615643,0.3339094365710335,0.23418181818181816,966,4391,1927
Agregado_Borda_3char,3 Caracteres,8,0.21555932131133565,0.6922251353540522,0.3136864701994514,0.21511888739344998,0.6629796059453854,0.3248369887374037,1918,6998,975
Agregado_Pluralidade_3char,3 Caracteres,8,0.21611885577865883,0.6910517116425801,0.31419232314487466,0.21567967698519516,0.664707915658486,0.32568380049115075,1923,6993,970
API Maritalk_3char,3 Caracteres,9,0.23368894857256542,0.546394466470563,0.31080679351617374,0.22918258212375858,0.5184929139301763,0.31786395422759056,1500,5045,1393
API Deep-Seek_3char,3 Caracteres,9,0.2501456565914937,0.5431012064628895,0.3288416055200703,0.25225077754133246,0.5326650535776011,0.342368362586092,1541,4568,1352
API GPT-Mini_3char,3 Caracteres,9,0.2595810063804692,0.5460075883531569,0.335195866369108,0.258380608561114,0.5195298997580367,0.34512055109070033,1503,4314,1390
API GPT‑4o_3char,3 Caracteres,9,0.30013570931207456,0.5035501129726734,0.3596772881033713,0.2936802973977695,0.4915312824058071,0.36767937944408535,1422,3420,1471
API Gemini_3char,3 Caracteres,9,0.18116447115999487,0.356530033678646,0.22963798989808507,0.1800595238095238,0.33460076045627374,0.23412746402225176,968,4408,1925
Agregado_Borda_3char,3 Caracteres,9,0.1965475835216211,0.707354947350471,0.294251025610386,0.1959412176347096,0.6774974075354303,0.303970223325062,1960,8043,933
Agregado_Pluralidade_3char,3 Caracteres,9,0.1965475835216211,0.7009901095621776,0.29367866846448626,0.1959412176347096,0.6774974075354303,0.303970223325062,1960,8043,933
API Maritalk_3char,3 Caracteres,10,0.23311271688621732,0.5465223600630941,0.31030051655697805,0.22776934749620636,0.5188385758727964,0.31656648739850257,1501,5089,1392
API Deep-Seek_3char,3 Caracteres,10,0.24979998863168068,0.5431012064628895,0.32859202955837846,0.251756248978925,0.5326650535776011,0.3419125804304415,1541,4580,1352
API GPT-Mini_3char,3 Caracteres,10,0.2596605846158218,0.5462314021400861,0.33531392199298277,0.25850807837744927,0.5198755617006567,0.3453105269199862,1504,4314,1389
API GPT‑4o_3char,3 Caracteres,10,0.2999136718250416,0.5035501129726734,0.35951288066265985,0.2931958762886598,0.4915312824058071,0.36729949631925607,1422,3428,1471
API Gemini_3char,3 Caracteres,10,0.18120035241789942,0.35670908470818946,0.22971235818957902,0.18001114620100317,0.3349464223988939,0.23417109714838086,969,4414,1924
Agregado_Borda_3char,3 Caracteres,10,0.1816366116724219,0.7194707336829091,0.2780672474376724,0.180756698044895,0.6902868994123746,0.2864930779714511,1997,9051,896
Agregado_Pluralidade_3char,3 Caracteres,10,0.18136803512810676,0.710822995267937,0.2769906723313959,0.18048515568428675,0.6892499135845144,0.2860626927767018,1994,9054,899
